Enlem,Boylam,Mahalle,Adres,Ortalama_Duraklama_Saniye,Toplam_Duraklama_Saniye,Kayit_Sayisi,Farkli_Arac_Sayisi,Yakit_Kaybi_Litre,Maliyet_Kaybi_TL,Verimsizlik_Skoru
40.210408,28.916378333333334,Alaaddinbey Mh.,"Forzan Botanik, Alaaddinbey Köy Yolu Cd., Alaaddinbey Mh., Nilüfer, Bursa, Türkiye",5.555555555555555,50,9,7,0.035,1.58,2.8
40.264992588235295,28.970699117647058,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",16.41176470588235,279,17,7,0.195,8.78,2.8
40.2299735,28.964611416666667,Fethiye OSB Mh.,"Ata Blv., Fethiye OSB Mh., Nilüfer, Bursa, Türkiye",32.166666666666664,386,12,7,0.27,12.15,2.8
40.210162958333335,28.918127708333333,Alaaddinbey Mh.,"611. Sk., Alaaddinbey Mh., Nilüfer, Bursa, Türkiye",43.833333333333336,1052,24,7,0.736,33.12,2.8
40.2198948,28.9526094,Ataevler Mh.,"Türkiye İş Bankası ATM - Ata Bulvarı, Ata Blv., Ataevler Mh., Nilüfer, Bursa, Türkiye",8.0,80,10,7,0.056,2.52,2.8
40.20139081818182,28.94739290909091,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",7.2727272727272725,80,11,7,0.056,2.52,2.8
40.2290823,28.9640083,Ataevler Mh.,"Ata Blv., Ataevler Mh., Nilüfer, Bursa, Türkiye",6.3,63,10,7,0.044,1.98,2.8
40.269396,28.948781222222223,Geçit Mh.,"2. Gündoğdu Sk., Geçit Mh., Osmangazi, Bursa, Türkiye",8.555555555555555,77,9,7,0.054,2.43,2.8
40.20138108333333,28.947327833333333,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",6.166666666666667,74,12,7,0.052,2.34,2.8
40.220296272727275,28.952318727272726,23 Nisan Mh.,"Ata Blv., 23 Nisan Mh., Nilüfer, Bursa, Türkiye",5.818181818181818,64,11,7,0.045,2.02,2.8
40.20211057142858,28.94898292857143,Üçevler Mh.,"Ahıska Cd., Üçevler Mh., Nilüfer, Bursa, Türkiye",6.5,91,14,7,0.064,2.88,2.8
40.2639207368421,28.969625105263155,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",125.78947368421052,2390,19,7,1.673,75.28,2.8
40.22947814285714,28.96441157142857,Fethiye Mh.,"Ata Blv., Fethiye Mh., Nilüfer, Bursa, Türkiye",8.428571428571429,59,7,7,0.041,1.84,2.7
40.190575967741935,28.931058967741933,Alaaddinbey Mh.,"542. Sk., Alaaddinbey Mh., Nilüfer, Bursa, Türkiye",5220.935483870968,323698,62,6,226.589,10196.5,2.6
40.221138,28.953675909090908,Işıktepe OSB Mh.,"Ata Blv., Işıktepe OSB Mh., Nilüfer, Bursa, Türkiye",4.7272727272727275,52,11,6,0.036,1.62,2.3
40.263771142857145,28.969009571428575,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",6.857142857142857,48,7,6,0.034,1.53,2.3
40.263705875,28.969579875,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",4.75,38,8,6,0.027,1.22,2.3
40.26340255555556,28.969214611111113,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",58.22222222222222,1048,18,6,0.734,33.03,2.3
40.26359816666667,28.9691855,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",7.833333333333333,47,6,6,0.033,1.48,2.3
40.263541499999995,28.968687,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",6.333333333333333,38,6,6,0.027,1.22,2.3
40.256098125,28.95271825,Balat OSB Mh.,"B / 36 - D0781 Oyak-Renault Otobüs Durağı, Bronz Sk., Balat OSB Mh., Nilüfer, Bursa, Türkiye",6.625,53,8,6,0.037,1.66,2.3
40.265123833333334,28.971616166666667,Yenikent Mh.,"Kent Katı Atık Depolama Tesisi, Yenikent Mh., Osmangazi, Bursa, Türkiye",179.75,2157,12,6,1.51,67.95,2.3
40.20969269230769,28.952790615384615,Beşevler Mh.,"Ahıska Cd., Beşevler Mh., Nilüfer, Bursa, Türkiye",7.0,91,13,6,0.064,2.88,2.3
40.26531357142857,28.972199571428572,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",7.571428571428571,53,7,6,0.037,1.66,2.3
40.2644904,28.9699111,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",6.1,61,10,6,0.043,1.93,2.3
40.26421255555555,28.969990222222222,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",106.33333333333333,957,9,6,0.67,30.15,2.3
40.2651725,28.971111200000003,Yenikent Mh.,"Kent Katı Atık Depolama Tesisi, Yenikent Mh., Osmangazi, Bursa, Türkiye",127.9,1279,10,6,0.895,40.28,2.3
40.20989746153846,28.952779615384618,Beşevler Mh.,"Ahıska Cd., Beşevler Mh., Nilüfer, Bursa, Türkiye",10.692307692307692,139,13,6,0.097,4.36,2.3
40.20950638461538,28.952782384615382,Beşevler Mh.,"Ahıska Cd., Beşevler Mh., Nilüfer, Bursa, Türkiye",5.538461538461538,72,13,6,0.05,2.25,2.3
40.265226444444444,28.972002888888888,Yenikent Mh.,"Yenikent Mh., Osmangazi, Bursa, Türkiye",39.888888888888886,359,9,6,0.251,11.3,2.3
40.20960542857143,28.952770714285716,Beşevler Mh.,"Ahıska Cd., Beşevler Mh., Nilüfer, Bursa, Türkiye",8.571428571428571,60,7,6,0.042,1.89,2.3
40.22928328571429,28.96420414285714,Ataevler Mh.,"Ata Blv., Ataevler Mh., Nilüfer, Bursa, Türkiye",8.142857142857142,57,7,6,0.04,1.8,2.3
40.22989685714286,28.964535,Fethiye OSB Mh.,"Bursa Deri Organize Sanayi Bölgesi (OSB), Ata Blv., Fethiye OSB Mh., Nilüfer, Bursa, Türkiye",8.571428571428571,60,7,6,0.042,1.89,2.3
40.213023647058826,28.97728405882353,İhsaniye Mh.,"Fatih Sultan Mehmet Blv., İhsaniye Mh., Nilüfer, Bursa, Türkiye",4.9411764705882355,84,17,6,0.059,2.66,2.3
40.2293952,28.964323999999998,Fethiye Mh.,"Ata Blv., Fethiye Mh., Nilüfer, Bursa, Türkiye",7.6,76,10,6,0.053,2.38,2.3
40.241807,28.919177428571427,Minareliçavuş Mh.,"Nilüfer Organize Sanayi Bölgesi NOSAB (OSB), Bülent Ecevit Cd., Minareliçavuş Mh., Nilüfer, Bursa, Türkiye",7.285714285714286,51,7,6,0.036,1.62,2.3
40.24190599999999,28.918610857142856,Minareliçavuş Mh.,"Levent Sk., Minareliçavuş Mh., Nilüfer, Bursa, Türkiye",8.142857142857142,57,7,6,0.04,1.8,2.3
40.2708904,28.97100046666667,Yenikent Mh.,"Çıraklar Sk., Yenikent Mh., Osmangazi, Bursa, Türkiye",7.066666666666666,106,15,6,0.074,3.33,2.3
40.273402727272725,28.970362545454545,Yenikent Mh.,"Yenikent Katı Atık Depolama Alanı Ve Tesisleri, 2. Gündoğdu Sk., Yenikent Mh., Osmangazi, Bursa, Türkiye",60.54545454545455,666,11,6,0.466,20.97,2.3
40.20990936363636,28.95270590909091,Beşevler Mh.,"Ahıska Cd., Beşevler Mh., Nilüfer, Bursa, Türkiye",11.636363636363637,128,11,6,0.09,4.05,2.3
